latitud,longitud,salud,bomberos,policia
-8.94,-80.51,0,0,0
-9.84,-75.65,0,0,0
-12.55,-76.77,2,1,1
-4.17,-80.47,0,0,0
-10.79,-78.45,0,0,0
-11.94,-77.23,0,0,0
-9.16,-71.31,0,0,0
-8.76,-70.98,0,0,0
-13.24,-76.4,0,0,0
-12.47,-76.73,2,1,4
-15.95,-74.14,0,0,0
-10.35,-75.48,0,0,1
-14.71,-75.37,0,0,0
-14.19,-71.46,1,0,4
-17.55,-69.68,1,0,0
-12.7,-77.05,0,0,0
-9.54,-75.96,0,0,0
-3.56,-80.21,7,3,4
-3.86,-80.24,0,0,0
-9.88,-74.8,0,0,0
-8.91,-74.71,0,0,0
-11.46,-77.42,0,0,1
-7.85,-74.67,0,0,0
-15.61,-74.45,0,0,1
-10.88,-74.0,0,0,0
-5.42,-80.33,0,0,0
-12.01,-77.44,0,0,0
-15.81,-74.62,0,0,0
-14.93,-75.29,0,0,0
-9.39,-78.32,3,1,0
-16.55,-72.7,8,1,7
-5.36,-76.32,1,0,0
-16.01,-74.17,0,0,0
-5.85,-75.96,0,0,0
-9.66,-79.62,0,0,0
-14.69,-74.31,0,0,0
-13.27,-76.33,1,0,0
-4.93,-80.8,8,0,3
-16.02,-70.55,1,0,0
-12.49,-76.83,2,0,1
-14.33,-75.74,1,0,1
-10.33,-74.24,0,0,0
-12.5,-76.76,2,1,1
-14.94,-70.84,0,0,0
-17.42,-71.85,0,0,0
-17.47,-71.2,0,0,0
-15.72,-72.1,0,0,2
-8.85,-79.41,0,0,0
-9.27,-79.05,0,0,0
-17.8,-70.23,0,0,0
-9.15,-79.2,0,0,0
-5.71,-77.25,0,0,0
-12.85,-75.34,0,0,0
-15.39,-74.35,0,0,1
-8.05,-74.37,0,0,0
-10.55,-78.56,0,0,0
-10.81,-74.99,0,0,0
-13.77,-71.62,0,0,3
-3.21,-75.9,0,0,0
-8.71,-76.16,0,0,0
-17.08,-70.8,2,1,4
-19.07,-69.4,0,0,0
-14.53,-76.42,0,0,0
-14.87,-71.31,0,0,0
-18.61,-71.26,0,0,0
-14.88,-75.51,0,0,0
-13.72,-76.47,0,0,0
-16.71,-69.9,0,0,0
-16.17,-69.72,2,0,1
-8.82,-79.49,0,0,0
-2.68,-79.51,0,0,0
-9.13,-77.62,4,0,0
-5.51,-77.01,0,0,0
-10.36,-74.53,0,0,0
-3.79,-79.36,1,0,0
-14.62,-76.52,0,0,0
-14.14,-75.79,29,2,8
-13.43,-71.93,3,1,3
-10.46,-78.8,0,0,0
-12.32,-76.91,9,1,4
-13.62,-75.81,0,0,0
-5.76,-81.1,2,0,1
-12.55,-75.28,1,0,0
-8.9,-76.11,1,1,1
-10.02,-79.09,0,0,0
-15.73,-72.08,0,0,2
-4.87,-80.82,6,0,2
-4.4,-80.89,0,0,0
-8.06,-80.03,0,0,0
-14.3,-72.91,1,0,1
-17.12,-70.54,0,0,0
-12.94,-73.93,1,0,1
-15.99,-74.57,0,0,0
-15.25,-75.89,0,0,0
-4.89,-80.8,8,0,3
-2.21,-80.04,3,1,0
-16.09,-74.27,0,0,0
-15.33,-71.87,0,0,0
-11.92,-77.4,0,0,0
-13.33,-76.49,0,0,0
-3.55,-81.11,0,0,0
-8.07,-76.13,0,0,0
-10.83,-75.6,0,0,0
-8.83,-74.65,0,0,0
-12.62,-71.23,0,0,0
-13.45,-74.97,0,0,0
-13.62,-76.9,0,0,0
-13.21,-74.59,0,0,0
-16.35,-74.02,0,0,0
-10.51,-78.43,0,0,0
-11.29,-74.49,0,0,0
-16.55,-71.57,4,0,2
-13.8,-75.82,0,0,1
-9.68,-79.0,0,0,0
-14.51,-73.99,0,0,0
-11.91,-77.44,0,0,0
-12.17,-77.41,0,0,0
-14.88,-70.74,0,0,0
-12.2,-77.47,0,0,0
-12.18,-77.39,0,0,0
-10.28,-77.02,0,0,0
-6.35,-80.11,0,0,0
-18.01,-69.83,0,0,0
-15.56,-71.47,2,0,1
-7.51,-76.25,0,0,0
-16.37,-72.73,0,0,0
-13.62,-72.84,3,2,7
-9.36,-79.22,0,0,0
-15.79,-74.24,2,0,2
-3.95,-76.91,0,0,0
-11.04,-74.61,0,0,0
-9.77,-78.73,0,0,0
-8.41,-74.5,21,2,2
-7.81,-79.68,0,0,0
-10.77,-78.11,0,0,0
-10.61,-75.38,2,1,1
-12.85,-73.9,0,0,0
-14.02,-75.37,0,0,0
-2.79,-77.82,0,0,0
-13.7,-72.0,0,0,2
-18.09,-71.36,0,0,0
-5.82,-78.54,0,0,0
-13.48,-75.97,0,0,1
-4.48,-80.74,0,0,0
-5.84,-81.04,2,0,1
-12.19,-76.88,42,5,20
-6.03,-80.67,0,0,0
-14.77,-75.74,0,0,0
-6.83,-75.93,0,0,0
-16.24,-72.0,0,0,0
-14.22,-75.77,5,0,2
-8.1,-74.63,0,0,0
-15.03,-75.78,0,0,0
-14.97,-75.68,0,0,0
-15.06,-75.87,0,0,0
-15.07,-75.8,0,0,0
-15.04,-75.79,0,0,0
-19.5,-69.49,0,0,0
-14.43,-75.65,0,0,1
-8.05,-76.32,0,0,0
-9.61,-74.9,0,0,0
